p1_x,p1_y,p2_x,p2_y,p3_x,p3_y,p4_x,p4_y
850.3913,-653.32733,432.71475,588.47235,-258.8695,240.3804,1957.4907,-1933.4479
845.39276,-653.32324,427.72446,588.4785,-253.86377,240.38147,1952.499,-1933.4478
840.3942,-653.31915,422.73416,588.4847,-248.85803,240.38254,1947.5073,-1933.4476
835.3957,-653.31506,417.74387,588.49084,-243.8523,240.3836,1942.5156,-1933.4475
830.39716,-653.311,412.75357,588.497,-238.84656,240.38467,1937.5239,-1933.4474
825.3986,-653.3069,407.76328,588.5032,-233.84082,240.38574,1932.5322,-1933.4473
820.4001,-653.3028,402.77298,588.50934,-228.83508,240.38681,1927.5405,-1933.4471
815.40155,-653.2987,397.78268,588.5155,-223.82935,240.38788,1922.5488,-1933.447
810.403,-653.2946,392.7924,588.52167,-218.82361,240.38895,1917.5571,-1933.4469
805.4045,-653.2905,387.8021,588.52783,-213.81787,240.39001,1912.5654,-1933.4468
800.40594,-653.28644,382.8118,588.534,-208.81213,240.39108,1907.5737,-1933.4467
795.4074,-653.28235,377.8215,588.54016,-203.8064,240.39215,1902.582,-1933.4465
790.4089,-653.27826,372.8312,588.5463,-198.80066,240.39322,1897.5903,-1933.4464
785.41034,-653.2742,367.8409,588.5525,-193.79492,240.39429,1892.5986,-1933.4463
780.4118,-653.2701,362.85062,588.55865,-188.78918,240.39536,1887.6069,-1933.4462
775.41327,-653.266,357.86032,588.5648,-183.78345,240.39642,1882.6152,-1933.446
770.41473,-653.2619,352.87003,588.571,-178.77771,240.39749,1877.6235,-1933.4459
765.4162,-653.2578,347.87973,588.57715,-173.77197,240.39856,1872.6318,-1933.4458
760.41766,-653.2537,342.88943,588.5833,-168.76624,240.39963,1867.6401,-1933.4457
755.4191,-653.24963,337.89914,588.5895,-163.7605,240.4007,1862.6484,-1933.4456
750.4206,-653.24554,332.90884,588.59564,-158.75476,240.40176,1857.6567,-1933.4454
745.42206,-653.24146,327.91855,588.6018,-153.74902,240.40283,1852.665,-1933.4453
740.4235,-653.23737,322.92825,588.608,-148.74329,240.4039,1847.6733,-1933.4452
735.425,-653.2333,317.93796,588.61414,-143.73755,240.40497,1842.6816,-1933.4451
730.42645,-653.2292,312.94766,588.6203,-138.73181,240.40604,1837.69,-1933.445
725.4279,-653.2251,307.95737,588.62646,-133.72607,240.4071,1832.6982,-1933.4448
720.4294,-653.221,302.96707,588.6326,-128.72034,240.40817,1827.7065,-1933.4447
