p1_x,p1_y,p2_x,p2_y,p3_x,p3_y,p4_x,p4_y
-1101.0063,585.1721,-1088.3405,-535.09515,-1018.79987,1722.2585,-1758.2794,-1958.3024
-1096.0046,585.1785,-1083.3369,-535.08936,-1013.79504,1722.2623,-1753.271,-1958.3024
-1091.0029,585.18494,-1078.3334,-535.08356,-1008.7902,1722.2661,-1748.2626,-1958.3024
-1086.0012,585.19135,-1073.3298,-535.07776,-1003.7854,1722.2699,-1743.2542,-1958.3024
-1080.9995,585.19775,-1068.3263,-535.07196,-998.7806,1722.2737,-1738.2457,-1958.3024
-1075.9978,585.20416,-1063.3228,-535.06616,-993.77576,1722.2775,-1733.2373,-1958.3024
-1070.9961,585.2106,-1058.3192,-535.06036,-988.77094,1722.2812,-1728.2289,-1958.3024
-1065.9944,585.217,-1053.3157,-535.05457,-983.7661,1722.285,-1723.2205,-1958.3024
-1060.9927,585.2234,-1048.3121,-535.04877,-978.7613,1722.2888,-1718.212,-1958.3024
-1055.991,585.2298,-1043.3086,-535.04297,-973.7565,1722.2926,-1713.2036,-1958.3024
-1050.9893,585.2362,-1038.305,-535.0372,-968.75165,1722.2964,-1708.1952,-1958.3024
-1045.9875,585.2426,-1033.3015,-535.0314,-963.7468,1722.3002,-1703.1868,-1958.3024
-1040.9858,585.249,-1028.298,-535.0256,-958.742,1722.304,-1698.1783,-1958.3024
-1035.9841,585.25543,-1023.29443,-535.0198,-953.7372,1722.3077,-1693.1699,-1958.3024
-1030.9824,585.26184,-1018.2909,-535.014,-948.73236,1722.3115,-1688.1615,-1958.3024
-1025.9807,585.26825,-1013.28735,-535.0082,-943.72754,1722.3153,-1683.1531,-1958.3024
-1020.97906,585.27466,-1008.2838,-535.0024,-938.7227,1722.3191,-1678.1447,-1958.3024
-1015.9774,585.28107,-1003.2803,-534.9966,-933.7179,1722.3229,-1673.1362,-1958.3024
-1010.97577,585.2875,-998.27673,-534.9908,-928.7131,1722.3267,-1668.1278,-1958.3024
-1005.9741,585.2939,-993.2732,-534.985,-923.70825,1722.3304,-1663.1194,-1958.3024
-1000.9725,585.3003,-988.26965,-534.9792,-918.7034,1722.3342,-1658.111,-1958.3024
-995.9708,585.3067,-983.2661,-534.9734,-913.6986,1722.338,-1653.1025,-1958.3024
-990.9692,585.3131,-978.2626,-534.9676,-908.6938,1722.3418,-1648.0941,-1958.3024
-985.9675,585.3195,-973.25903,-534.9618,-903.68896,1722.3456,-1643.0857,-1958.3024
-980.9659,585.3259,-968.2555,-534.956,-898.68414,1722.3494,-1638.0773,-1958.3024
-975.96423,585.33234,-963.25195,-534.9502,-893.6793,1722.3531,-1633.0688,-1958.3024
-970.9626,585.33875,-958.2484,-534.9444,-888.6745,1722.3569,-1628.0604,-1958.3024
-965.96094,585.34515,-953.2449,-534.9386,-883.6697,1722.3607,-1623.052,-1958.3024
-960.9593,585.35156,-948.24133,-534.9328,-878.66486,1722.3645,-1618.0436,-1958.3024
-955.95764,585.358,-943.2378,-534.927,-873.66003,1722.3683,-1613.0352,-1958.3024
-950.956,585.3644,-938.23425,-534.9212,-868.6552,1722.3721,-1608.0267,-1958.3024
-945.95435,585.3708,-933.2307,-534.9154,-863.6504,1722.3759,-1603.0183,-1958.3024
-940.9527,585.3772,-928.2272,-534.9096,-858.64557,1722.3796,-1598.0099,-1958.3024
-935.95105,585.3836,-923.22363,-534.9038,-853.64075,1722.3834,-1593.0015,-1958.3024
-930.9494,585.39,-918.2201,-534.898,-848.6359,1722.3872,-1587.993,-1958.3024
-925.94775,585.3964,-913.21655,-534.8922,-843.6311,1722.391,-1582.9846,-1958.3024
-920.9461,585.40283,-908.213,-534.8864,-838.6263,1722.3948,-1577.9762,-1958.3024
-915.94446,585.40924,-903.2095,-534.8806,-833.62146,1722.3986,-1572.9678,-1958.3024
-910.9428,585.41565,-898.20593,-534.8748,-828.61664,1722.4023,-1567.9594,-1958.3024
-905.94116,585.42206,-893.2024,-534.869,-823.6118,1722.4061,-1562.9509,-1958.3024
-900.9395,585.42847,-888.19885,-534.8632,-818.607,1722.4099,-1557.9425,-1958.3024
-895.93787,585.4349,-883.1953,-534.8574,-813.6022,1722.4137,-1552.9341,-1958.3024
-890.9362,585.4413,-878.1918,-534.8516,-808.59735,1722.4175,-1547.9257,-1958.3024
-885.9346,585.4477,-873.18823,-534.8458,-803.5925,1722.4213,-1542.9172,-1958.3024
-880.9329,585.4541,-868.1847,-534.84,-798.5877,1722.425,-1537.9088,-1958.3024
-875.9313,585.4605,-863.18115,-534.8342,-793.5829,1722.4288,-1532.9004,-1958.3024
-870.9296,585.4669,-858.1776,-534.8284,-788.57806,1722.4326,-1527.892,-1958.3024
-865.928,585.4733,-853.1741,-534.82263,-783.57324,1722.4364,-1522.8835,-1958.3024
-860.92633,585.47974,-848.17053,-534.81683,-778.5684,1722.4402,-1517.8751,-1958.3024
-855.9247,585.48615,-843.167,-534.81104,-773.5636,1722.444,-1512.8667,-1958.3024
-850.92303,585.49255,-838.16345,-534.80524,-768.5588,1722.4478,-1507.8583,-1958.3024
-845.9214,585.49896,-833.1599,-534.79944,-763.55396,1722.4515,-1502.8499,-1958.3024
-840.91974,585.5054,-828.1564,-534.79364,-758.54913,1722.4553,-1497.8414,-1958.3024
-835.9181,585.5118,-823.15283,-534.78784,-753.5443,1722.4591,-1492.833,-1958.3024
-830.91644,585.5182,-818.1493,-534.78204,-748.5395,1722.4629,-1487.8246,-1958.3024
-825.9148,585.5246,-813.14575,-534.77625,-743.53467,1722.4667,-1482.8162,-1958.3024
-820.91315,585.531,-808.1422,-534.77045,-738.52985,1722.4705,-1477.8077,-1958.3024
-815.9115,585.5374,-803.1387,-534.76465,-733.525,1722.4742,-1472.7993,-1958.3024
-810.90985,585.5438,-798.13513,-534.75885,-728.5202,1722.478,-1467.7909,-1958.3024
-805.9082,585.55023,-793.1316,-534.75305,-723.5154,1722.4818,-1462.7825,-1958.3024
-800.90656,585.55664,-788.12805,-534.74725,-718.51056,1722.4856,-1457.774,-1958.3024
-795.9049,585.56305,-783.1245,-534.74146,-713.50574,1722.4894,-1452.7656,-1958.3024
-790.90326,585.56946,-778.121,-534.73566,-708.5009,1722.4932,-1447.7572,-1958.3024
-785.9016,585.57587,-773.11743,-534.72986,-703.4961,1722.497,-1442.7488,-1958.3024
-780.89996,585.5823,-768.1139,-534.72406,-698.4913,1722.5007,-1437.7404,-1958.3024
-775.8983,585.5887,-763.11035,-534.71826,-693.48645,1722.5045,-1432.7319,-1958.3024
-770.89667,585.5951,-758.1068,-534.71246,-688.4816,1722.5083,-1427.7235,-1958.3024
-765.895,585.6015,-753.1033,-534.70667,-683.4768,1722.5121,-1422.7151,-1958.3024
-760.8934,585.6079,-748.09973,-534.70087,-678.472,1722.5159,-1417.7067,-1958.3024
-755.8917,585.6143,-743.0962,-534.69507,-673.46716,1722.5197,-1412.6982,-1958.3024
-750.8901,585.6207,-738.09265,-534.6893,-668.46234,1722.5234,-1407.6898,-1958.3024
-745.8884,585.62714,-733.0891,-534.6835,-663.4575,1722.5272,-1402.6814,-1958.3024
-740.8868,585.63354,-728.0856,-534.6777,-658.4527,1722.531,-1397.673,-1958.3024
-735.88513,585.63995,-723.08203,-534.6719,-653.4479,1722.5348,-1392.6646,-1958.3024
-730.8835,585.64636,-718.0785,-534.6661,-648.44305,1722.5386,-1387.6561,-1958.3024
-725.88184,585.6528,-713.07495,-534.6603,-643.43823,1722.5424,-1382.6477,-1958.3024
