,Time,Energy
0,0.0,1.2500042915344238
1,0.01,1.2500041723251343
2,0.02,1.2500042915344238
3,0.03,1.2500042915344238
4,0.04,1.2500042915344238
5,0.05,1.2500042915344238
6,0.06,1.2500042915344238
7,0.07,1.2500042915344238
8,0.08,1.2500042915344238
9,0.09,1.2500042915344238
10,0.1,1.2500044107437134
11,0.11,1.2500042915344238
12,0.12,1.2500044107437134
13,0.13,1.2500041723251343
14,0.14,1.2500042915344238
15,0.15,1.2500042915344238
16,0.16,1.2500044107437134
17,0.17,1.2500042915344238
18,0.18,1.2500042915344238
19,0.19,1.2500042915344238
20,0.2,1.2500042915344238
21,0.21,1.2500044107437134
22,0.22,1.2500042915344238
23,0.23,1.2500042915344238
24,0.24,1.2500042915344238
25,0.25,1.2500042915344238
26,0.26,1.2500044107437134
27,0.27,1.2500041723251343
28,0.28,1.2500042915344238
29,0.29,1.2500042915344238
30,0.3,1.2500041723251343
31,0.31,1.2500042915344238
32,0.32,1.2500042915344238
33,0.33,1.2500042915344238
34,0.34,1.2500041723251343
35,0.35,1.2500042915344238
36,0.36,1.2500042915344238
37,0.37,1.2500042915344238
38,0.38,1.2500042915344238
39,0.39,1.2500042915344238
40,0.4,1.2500044107437134
41,0.41,1.2500041723251343
42,0.42,1.2500042915344238
43,0.43,1.2500044107437134
44,0.44,1.2500042915344238
45,0.45,1.2500042915344238
46,0.46,1.2500042915344238
47,0.47,1.2500042915344238
48,0.48,1.2500044107437134
49,0.49,1.2500042915344238
50,0.5,1.2500044107437134
51,0.51,1.2500044107437134
52,0.52,1.2500042915344238
53,0.53,1.2500042915344238
54,0.54,1.2500042915344238
55,0.55,1.2500042915344238
56,0.56,1.2500044107437134
57,0.57,1.2500042915344238
58,0.58,1.2500044107437134
59,0.59,1.2500042915344238
60,0.6,1.2500042915344238
61,0.61,1.2500044107437134
62,0.62,1.2500042915344238
63,0.63,1.2500044107437134
64,0.64,1.2500042915344238
65,0.65,1.2500042915344238
66,0.66,1.2500044107437134
67,0.67,1.2500042915344238
68,0.68,1.2500044107437134
69,0.69,1.2500042915344238
70,0.7,1.2500042915344238
71,0.71,1.2500041723251343
72,0.72,1.2500044107437134
73,0.73,1.2500042915344238
74,0.74,1.2500042915344238
75,0.75,1.2500044107437134
76,0.76,1.2500042915344238
77,0.77,1.2500044107437134
78,0.78,1.2500042915344238
79,0.79,1.2500042915344238
80,0.8,1.2500044107437134
81,0.81,1.2500042915344238
82,0.82,1.2500042915344238
83,0.83,1.2500042915344238
84,0.84,1.2500042915344238
85,0.85,1.2500042915344238
86,0.86,1.2500044107437134
87,0.87,1.2500042915344238
88,0.88,1.2500041723251343
89,0.89,1.2500042915344238
90,0.9,1.2500044107437134
91,0.91,1.2500041723251343
92,0.92,1.2500042915344238
93,0.93,1.2500042915344238
94,0.94,1.2500042915344238
95,0.95,1.2500044107437134
96,0.96,1.2500044107437134
97,0.97,1.2500042915344238
98,0.98,1.2500042915344238
99,0.99,1.2500042915344238
100,1.0,1.2500044107437134
101,1.01,1.2500044107437134
102,1.02,1.2500042915344238
103,1.03,1.2500042915344238
104,1.04,1.2500044107437134
105,1.05,1.2500041723251343
106,1.06,1.2500042915344238
107,1.07,1.2500042915344238
108,1.08,1.2500044107437134
109,1.09,1.2500042915344238
110,1.1,1.2500044107437134
111,1.11,1.2500044107437134
112,1.12,1.2500042915344238
113,1.13,1.2500042915344238
114,1.14,1.2500041723251343
115,1.15,1.2500044107437134
116,1.16,1.2500041723251343
117,1.17,1.2500042915344238
118,1.18,1.2500042915344238
119,1.19,1.2500042915344238
120,1.2,1.2500044107437134
121,1.21,1.2500042915344238
122,1.22,1.2500042915344238
123,1.23,1.2500042915344238
124,1.24,1.2500042915344238
125,1.25,1.2500044107437134
126,1.26,1.2500042915344238
127,1.27,1.2500042915344238
128,1.28,1.2500042915344238
129,1.29,1.2500044107437134
130,1.3,1.2500042915344238
131,1.31,1.2500042915344238
132,1.32,1.2500042915344238
133,1.33,1.2500041723251343
134,1.34,1.2500044107437134
135,1.35,1.2500042915344238
136,1.36,1.2500042915344238
137,1.37,1.2500042915344238
138,1.38,1.2500044107437134
139,1.39,1.2500044107437134
140,1.4,1.2500041723251343
141,1.41,1.2500044107437134
142,1.42,1.2500044107437134
143,1.43,1.2500042915344238
144,1.44,1.2500041723251343
145,1.45,1.2500041723251343
146,1.46,1.2500042915344238
147,1.47,1.2500042915344238
148,1.48,1.2500042915344238
149,1.49,1.2500042915344238
150,1.5,1.2500042915344238
151,1.51,1.2500042915344238
152,1.52,1.2500044107437134
153,1.53,1.2500041723251343
154,1.54,1.2500042915344238
155,1.55,1.2500042915344238
156,1.56,1.2500042915344238
157,1.57,1.2500041723251343
158,1.58,1.2500042915344238
159,1.59,1.2500042915344238
160,1.6,1.2500044107437134
161,1.61,1.2500044107437134
162,1.62,1.2500042915344238
163,1.63,1.2500044107437134
164,1.64,1.2500042915344238
165,1.65,1.2500042915344238
166,1.66,1.2500042915344238
167,1.67,1.2500041723251343
168,1.68,1.2500042915344238
169,1.69,1.2500042915344238
170,1.7,1.2500041723251343
171,1.71,1.2500044107437134
172,1.72,1.2500042915344238
173,1.73,1.2500042915344238
174,1.74,1.2500042915344238
175,1.75,1.2500042915344238
176,1.76,1.2500042915344238
177,1.77,1.2500042915344238
178,1.78,1.2500042915344238
179,1.79,1.2500044107437134
180,1.8,1.2500042915344238
181,1.81,1.2500042915344238
182,1.82,1.2500042915344238
183,1.83,1.2500041723251343
184,1.84,1.2500042915344238
185,1.85,1.2500042915344238
