,Time,Entropy
0,0.0,6.538047653539763
1,0.01,6.45369103617592
2,0.02,6.53792601045402
3,0.03,6.461258423451383
4,0.04,6.537938642289082
5,0.05,6.465288328786081
6,0.06,6.522115509793353
7,0.07,6.474244450627079
8,0.08,6.491379967510108
9,0.09,6.483096961368009
10,0.1,6.5208460999029425
11,0.11,6.438255431218459
12,0.12,6.491510115176249
13,0.13,6.449474427104555
14,0.14,6.522342748421126
15,0.15,6.460113567402422
16,0.16,6.4971766467786995
17,0.17,6.474909770413289
18,0.18,6.47242785362335
19,0.19,6.490590218529109
20,0.2,6.505282170769069
21,0.21,6.450421754562317
22,0.22,6.482485172881592
23,0.23,6.469354261522485
24,0.24,6.460937717240959
25,0.25,2.022779414119483
26,0.26,2.022646915523201
27,0.27,2.022781790334566
28,0.28,2.022719729325685
29,0.29,1.8556730082588058
30,0.3,1.8557157444655903
31,0.31,1.8565314014693155
32,0.32,1.8565570488205643
33,0.33,1.3267252514599561
34,0.34,1.3267905952191992
35,0.35,1.3288145802104925
36,0.36,1.3296865347812787
37,0.37,1.3315056474919198
38,0.38,1.331506568190916
39,0.39,1.3313645239330463
40,0.4,1.3313639724933373
41,0.41,1.3346560655000048
42,0.42,1.3382565499852528
43,0.43,1.331254189480779
44,0.44,1.3322693290069367
45,0.45,1.3375526033700993
46,0.46,1.3393186381760467
47,0.47,1.1876696976675256
48,0.48,1.188005790513283
49,0.49,1.0960127648330935
50,0.5,1.0977500827877542
51,0.51,1.099570014302368
52,0.52,1.1012098590600308
53,0.53,1.1030659520570267
54,0.54,1.1085561826401746
55,0.55,1.1087318958731796
56,0.56,1.1107061844641508
57,0.57,1.1108242899236718
58,0.58,1.1172522140381296
59,0.59,1.119168741701179
60,0.6,1.127798879697463
61,0.61,1.1331483733874304
62,0.62,1.1369759871119358
63,0.63,1.1395732258082065
64,0.64,1.1448365894299102
65,0.65,1.1257803693274773
66,0.66,1.1295828501712633
67,0.67,1.1350333722382815
68,0.68,1.1407333917954403
69,0.69,1.1530442940955747
70,0.7,1.1599946713214409
71,0.71,1.1636400258238055
72,0.72,1.165087077703978
73,0.73,1.1747833173275277
74,0.74,1.1783010867470953
75,0.75,1.1053471227929659
76,0.76,1.0166179091330327
77,0.77,1.0182755832923482
78,0.78,1.0201127976608502
79,0.79,1.0225376854447246
80,0.8,1.0227796756709777
81,0.81,1.0301230968127397
82,0.82,1.031517780426883
83,0.83,1.031339377282239
