p1_x,p1_y,p2_x,p2_y,p3_x,p3_y,p4_x,p4_y
-1459.5393,-1106.5737,1050.9243,-1130.5148,387.1782,1529.1031,848.58215,-464.0809
-1454.5334,-1106.5697,1045.9281,-1130.508,382.17883,1529.1107,843.5839,-464.07684
-1449.5276,-1106.5657,1040.9319,-1130.5013,377.17947,1529.1183,838.5857,-464.07278
-1444.5217,-1106.5616,1035.9357,-1130.4946,372.1801,1529.1259,833.58746,-464.06873
-1439.5159,-1106.5576,1030.9395,-1130.4879,367.18076,1529.1334,828.58923,-464.06467
-1434.51,-1106.5536,1025.9432,-1130.4812,362.1814,1529.141,823.591,-464.0606
-1429.5042,-1106.5496,1020.947,-1130.4745,357.18204,1529.1486,818.5928,-464.05655
-1424.4983,-1106.5455,1015.9508,-1130.4678,352.18268,1529.1561,813.59454,-464.0525
-1419.4924,-1106.5415,1010.9546,-1130.461,347.18332,1529.1637,808.5963,-464.04843
-1414.4866,-1106.5375,1005.9584,-1130.4543,342.18396,1529.1713,803.5981,-464.04437
-1409.4807,-1106.5334,1000.96216,-1130.4476,337.1846,1529.1788,798.59985,-464.0403
-1404.4749,-1106.5294,995.96594,-1130.4409,332.18524,1529.1864,793.6016,-464.03625
-1399.469,-1106.5254,990.9697,-1130.4342,327.18588,1529.194,788.6034,-464.0322
-1394.4631,-1106.5214,985.9735,-1130.4275,322.18652,1529.2015,783.60516,-464.02814
-1389.4573,-1106.5173,980.9773,-1130.4208,317.18716,1529.2091,778.60693,-464.02408
-1384.4514,-1106.5133,975.9811,-1130.4141,312.1878,1529.2167,773.6087,-464.02002
-1379.4456,-1106.5093,970.98486,-1130.4073,307.18845,1529.2242,768.6105,-464.01596
-1374.4397,-1106.5052,965.98865,-1130.4006,302.1891,1529.2318,763.61224,-464.0119
-1369.4338,-1106.5012,960.99243,-1130.3939,297.18973,1529.2394,758.614,-464.00784
-1364.428,-1106.4972,955.9962,-1130.3872,292.19037,1529.247,753.6158,-464.00378
-1359.4221,-1106.4932,951.0,-1130.3805,287.191,1529.2545,748.61755,-463.99973
-1354.4163,-1106.4891,946.0038,-1130.3738,282.19165,1529.2621,743.6193,-463.99567
-1349.4104,-1106.4851,941.00757,-1130.3671,277.1923,1529.2697,738.6211,-463.9916
-1344.4045,-1106.4811,936.01135,-1130.3604,272.19293,1529.2772,733.62286,-463.98755
-1339.3987,-1106.477,931.01514,-1130.3536,267.19357,1529.2848,728.62463,-463.9835
-1334.3928,-1106.473,926.0189,-1130.3469,262.1942,1529.2924,723.6264,-463.97943
-1329.387,-1106.469,921.0227,-1130.3402,257.19485,1529.2999,718.6282,-463.97537
-1324.3811,-1106.465,916.0265,-1130.3335,252.1955,1529.3075,713.62994,-463.9713
-1319.3752,-1106.4609,911.0303,-1130.3268,247.19614,1529.3151,708.6317,-463.96725
-1314.3694,-1106.4569,906.03406,-1130.3201,242.19678,1529.3226,703.6335,-463.9632
-1309.3635,-1106.4529,901.03784,-1130.3134,237.19742,1529.3302,698.63525,-463.95914
-1304.3577,-1106.4489,896.0416,-1130.3066,232.19806,1529.3378,693.637,-463.95508
-1299.3518,-1106.4448,891.0454,-1130.2999,227.1987,1529.3453,688.6388,-463.95102
-1294.346,-1106.4408,886.0492,-1130.2932,222.19934,1529.3529,683.64056,-463.94696
-1289.3401,-1106.4368,881.053,-1130.2865,217.19998,1529.3605,678.64233,-463.9429
-1284.3342,-1106.4327,876.05676,-1130.2798,212.20062,1529.368,673.6441,-463.93884
