p1_x,p1_y,p2_x,p2_y,p3_x,p3_y,p4_x,p4_y
280.00214,270.44513,-729.4043,268.4704,-1577.2582,468.3972,333.0499,956.7242
285.00598,270.45218,-724.39966,268.47858,-1572.2573,468.39972,338.05862,956.72516
290.00983,270.45923,-719.395,268.48676,-1567.2565,468.40225,343.06735,956.72614
295.01367,270.46628,-714.3904,268.49493,-1562.2556,468.4048,348.07608,956.7271
300.01752,270.47333,-709.38574,268.5031,-1557.2548,468.40732,353.0848,956.7281
305.02136,270.48038,-704.3811,268.5113,-1552.2539,468.40985,358.09354,956.72906
310.0252,270.48743,-699.37646,268.51947,-1547.253,468.41238,363.10226,956.73004
315.02905,270.49448,-694.3718,268.52765,-1542.2522,468.41492,368.111,956.731
320.0329,270.50153,-689.3672,268.53583,-1537.2513,468.41745,373.11972,956.732
325.03674,270.50858,-684.36255,268.544,-1532.2505,468.41998,378.12845,956.733
330.0406,270.51562,-679.3579,268.5522,-1527.2496,468.42252,383.13718,956.73395
335.04443,270.52267,-674.3533,268.56036,-1522.2488,468.42505,388.1459,956.7349
340.04828,270.52972,-669.34863,268.56854,-1517.2479,468.42758,393.15463,956.7359
345.05212,270.53677,-664.344,268.57672,-1512.2471,468.4301,398.16336,956.7369
350.05597,270.54382,-659.33936,268.5849,-1507.2462,468.43265,403.1721,956.73785
355.0598,270.55087,-654.3347,268.59308,-1502.2454,468.43518,408.18082,956.73883
360.06366,270.55792,-649.3301,268.60126,-1497.2445,468.4377,413.18954,956.7398
365.0675,270.56497,-644.32544,268.60944,-1492.2437,468.44025,418.19827,956.7408
370.07135,270.57202,-639.3208,268.6176,-1487.2428,468.44278,423.207,956.74176
375.0752,270.57907,-634.31616,268.6258,-1482.242,468.4453,428.21573,956.74274
380.07904,270.58612,-629.3115,268.63397,-1477.2411,468.44785,433.22446,956.7437
385.0829,270.59317,-624.3069,268.64215,-1472.2402,468.45038,438.2332,956.7447
390.08673,270.60022,-619.30225,268.65033,-1467.2394,468.4529,443.2419,956.74567
395.09058,270.60727,-614.2976,268.6585,-1462.2385,468.45544,448.25064,956.74664
400.09442,270.61432,-609.29297,268.6667,-1457.2377,468.45798,453.25937,956.7476
405.09827,270.62137,-604.2883,268.67487,-1452.2368,468.4605,458.2681,956.7486
410.1021,270.62842,-599.2837,268.68304,-1447.236,468.46304,463.27682,956.7496
415.10596,270.63547,-594.27905,268.69122,-1442.2351,468.46558,468.28555,956.75055
420.1098,270.64252,-589.2744,268.6994,-1437.2343,468.4681,473.29428,956.7515
425.11365,270.64957,-584.2698,268.70758,-1432.2334,468.47064,478.303,956.7525
430.1175,270.65662,-579.26514,268.71576,-1427.2325,468.47318,483.31174,956.7535
435.12134,270.66367,-574.2605,268.72394,-1422.2317,468.4757,488.32047,956.75446
440.12518,270.67072,-569.25586,268.73212,-1417.2308,468.47824,493.3292,956.75543
445.12903,270.67776,-564.2512,268.7403,-1412.23,468.48077,498.33792,956.7564
450.13287,270.6848,-559.2466,268.74847,-1407.2291,468.4833,503.34665,956.7574
455.13672,270.69186,-554.24194,268.75665,-1402.2283,468.48584,508.35538,956.75836
460.14056,270.6989,-549.2373,268.76483,-1397.2274,468.48837,513.36414,956.75934
465.1444,270.70596,-544.23267,268.773,-1392.2266,468.4909,518.37286,956.7603
470.14825,270.713,-539.228,268.7812,-1387.2257,468.49344,523.3816,956.7613
475.1521,270.72006,-534.2234,268.78937,-1382.2249,468.49597,528.3903,956.76227
480.15594,270.7271,-529.21875,268.79755,-1377.224,468.4985,533.39905,956.76324
485.1598,270.73416,-524.2141,268.80573,-1372.2231,468.50104,538.4078,956.7642
490.16364,270.7412,-519.2095,268.8139,-1367.2223,468.50357,543.4165,956.7652
495.16748,270.74826,-514.20483,268.82208,-1362.2214,468.5061,548.42523,956.7662
500.17133,270.7553,-509.2002,268.83026,-1357.2206,468.50864,553.43396,956.76715
505.17517,270.76236,-504.19556,268.83844,-1352.2197,468.51117,558.4427,956.7681
510.17902,270.7694,-499.19092,268.84662,-1347.2189,468.5137,563.4514,956.7691
515.18286,270.77646,-494.18628,268.8548,-1342.218,468.51624,568.46014,956.7701
520.1867,270.7835,-489.18164,268.86298,-1337.2172,468.51877,573.4689,956.77106
525.19055,270.79056,-484.177,268.87115,-1332.2163,468.5213,578.4776,956.77203
530.1944,270.7976,-479.17236,268.87933,-1327.2155,468.52383,583.4863,956.773
535.19824,270.80466,-474.16772,268.8875,-1322.2146,468.52637,588.49506,956.774
540.2021,270.8117,-469.1631,268.8957,-1317.2137,468.5289,593.5038,956.77496
545.20593,270.81876,-464.15845,268.90387,-1312.2129,468.53143,598.5125,956.77594
550.2098,270.8258,-459.1538,268.91205,-1307.212,468.53397,603.52124,956.7769
555.2136,270.83286,-454.14917,268.92023,-1302.2112,468.5365,608.52997,956.7779
560.21747,270.8399,-449.14453,268.9284,-1297.2103,468.53903,613.5387,956.7789
565.2213,270.84695,-444.1399,268.93658,-1292.2095,468.54156,618.5474,956.77985
570.22516,270.854,-439.13525,268.94476,-1287.2086,468.5441,623.55615,956.7808
575.229,270.86105,-434.1306,268.95294,-1282.2078,468.54663,628.5649,956.7818
580.23285,270.8681,-429.12598,268.96112,-1277.2069,468.54916,633.5736,956.7828
585.2367,270.87515,-424.12134,268.9693,-1272.206,468.5517,638.58234,956.78375
590.24054,270.8822,-419.1167,268.97748,-1267.2052,468.55423,643.59106,956.7847
595.2444,270.88925,-414.11206,268.98566,-1262.2043,468.55676,648.5998,956.7857
600.2482,270.8963,-409.10742,268.99384,-1257.2035,468.5593,653.6085,956.7867
605.2521,270.90335,-404.10278,269.002,-1252.2026,468.56183,658.61725,956.78766
610.2559,270.9104,-399.09814,269.0102,-1247.2018,468.56436,663.626,956.78864
615.25977,270.91745,-394.0935,269.01837,-1242.2009,468.5669,668.6347,956.7896
620.2636,270.9245,-389.08887,269.02655,-1237.2001,468.56943,673.64343,956.7906
625.26746,270.93155,-384.08423,269.03473,-1232.1992,468.57196,678.65216,956.79156
630.2713,270.9386,-379.0796,269.0429,-1227.1984,468.5745,683.6609,956.79254
635.27515,270.94565,-374.07495,269.0511,-1222.1975,468.57703,688.6696,956.7935
640.279,270.9527,-369.0703,269.05927,-1217.1967,468.57956,693.67834,956.7945
645.28284,270.95975,-364.06567,269.06744,-1212.1958,468.5821,698.6871,956.7955
650.2867,270.9668,-359.06104,269.07562,-1207.195,468.58463,703.6958,956.79645
655.2905,270.97385,-354.0564,269.0838,-1202.1941,468.58716,708.7045,956.7974
660.2944,270.9809,-349.05176,269.09198,-1197.1932,468.5897,713.71326,956.7984
665.2982,270.98795,-344.04712,269.10016,-1192.1924,468.59222,718.722,956.7994
670.30206,270.995,-339.04248,269.10834,-1187.1915,468.59476,723.7307,956.80035
675.3059,271.00204,-334.03784,269.11652,-1182.1907,468.5973,728.73944,956.80133
680.30975,271.0091,-329.0332,269.1247,-1177.1898,468.59982,733.74817,956.8023
685.3136,271.01614,-324.02856,269.13287,-1172.189,468.60236,738.7569,956.8033
690.31744,271.0232,-319.02393,269.14105,-1167.1881,468.6049,743.7656,956.80426
695.3213,271.03024,-314.0193,269.14923,-1162.1873,468.60742,748.77435,956.80524
700.32513,271.0373,-309.01465,269.1574,-1157.1864,468.60995,753.7831,956.8062
705.329,271.04434,-304.01,269.1656,-1152.1855,468.6125,758.7918,956.8072
710.3328,271.0514,-299.00537,269.17377,-1147.1847,468.61502,763.80054,956.80817
715.3367,271.05844,-294.00073,269.18195,-1142.1838,468.61755,768.80927,956.80914
720.3405,271.0655,-288.9961,269.19012,-1137.183,468.6201,773.818,956.8101
725.34436,271.07254,-283.99146,269.1983,-1132.1821,468.62262,778.8267,956.8111
730.3482,271.0796,-278.98682,269.20648,-1127.1813,468.62515,783.83545,956.8121
735.35205,271.08664,-273.98218,269.21466,-1122.1804,468.6277,788.8442,956.81305
740.3559,271.0937,-268.97754,269.22284,-1117.1796,468.63022,793.8529,956.814
745.35974,271.10074,-263.9729,269.23102,-1112.1787,468.63275,798.86163,956.815
750.3636,271.1078,-258.96826,269.2392,-1107.1779,468.63528,803.87036,956.816
755.36743,271.11484,-253.96362,269.24738,-1102.177,468.63782,808.8791,956.81696
760.3713,271.1219,-248.95898,269.25555,-1097.1761,468.64035,813.8878,956.81793
765.3751,271.12894,-243.95435,269.26373,-1092.1753,468.64288,818.89655,956.8189
770.37897,271.136,-238.9497,269.2719,-1087.1744,468.64542,823.9053,956.8199
775.3828,271.14304,-233.94507,269.2801,-1082.1736,468.64795,828.914,956.82086
780.38666,271.1501,-228.94043,269.28827,-1077.1727,468.65048,833.9227,956.82184
785.3905,271.15714,-223.93579,269.29645,-1072.1719,468.653,838.93146,956.8228
790.39435,271.16418,-218.93115,269.30463,-1067.171,468.65555,843.9402,956.8238
795.3982,271.17123,-213.92651,269.3128,-1062.1702,468.65808,848.9489,956.82477
800.40204,271.17828,-208.92188,269.32098,-1057.1693,468.6606,853.95764,956.82574
805.4059,271.18533,-203.91724,269.32916,-1052.1685,468.66315,858.9664,956.8267
810.4097,271.19238,-198.9126,269.33734,-1047.1676,468.66568,863.9751,956.8277
815.4136,271.19943,-193.90796,269.34552,-1042.1667,468.6682,868.9838,956.8287
820.4174,271.20648,-188.90332,269.3537,-1037.1659,468.67075,873.99255,956.82965
825.42126,271.21353,-183.89868,269.36188,-1032.165,468.67328,879.0013,956.8306
830.4251,271.22058,-178.89404,269.37006,-1027.1642,468.6758,884.01,956.8316
835.42896,271.22763,-173.8894,269.37823,-1022.16327,468.67834,889.01874,956.8326
840.4328,271.23468,-168.88477,269.3864,-1017.16235,468.68088,894.02747,956.83356
845.43665,271.24173,-163.88013,269.3946,-1012.16144,468.6834,899.0362,956.83453
850.4405,271.24878,-158.87549,269.40277,-1007.1605,468.68594,904.0449,956.8355
855.44434,271.25583,-153.87085,269.41095,-1002.1596,468.68848,909.05365,956.8365
860.4482,271.26288,-148.86621,269.41913,-997.1587,468.691,914.0624,956.83746
865.452,271.26993,-143.86157,269.4273,-992.1578,468.69354,919.0711,956.83844
